# galaxy_id rad[kpc] vobs[km/s] errv[km/s] mass[M_sun]
D564-8_rotmod 1.02 15.10 1.41 2.83e+07
D564-8_rotmod 1.53 19.80 1.80 2.83e+07
D564-8_rotmod 2.04 21.90 1.82 2.83e+07
D564-8_rotmod 2.56 24.00 1.89 2.83e+07
D564-8_rotmod 3.07 25.00 2.05 2.83e+07
NGC3877_rotmod 0.87 37.80 9.00 4.79e+10
NGC3877_rotmod 1.74 80.10 9.00 4.79e+10
NGC3877_rotmod 2.61 121.00 8.50 4.79e+10
NGC3877_rotmod 3.50 142.00 7.30 4.79e+10
NGC3877_rotmod 4.37 153.00 6.20 4.79e+10
NGC3877_rotmod 5.24 160.00 5.30 4.79e+10
NGC3877_rotmod 6.11 162.00 5.30 4.79e+10
NGC3877_rotmod 6.98 167.00 4.50 4.79e+10
NGC3877_rotmod 7.85 169.00 5.30 4.79e+10
NGC3877_rotmod 8.72 171.00 4.90 4.79e+10
NGC3877_rotmod 9.60 171.00 4.90 4.79e+10
NGC3877_rotmod 10.47 170.00 5.70 4.79e+10
NGC3877_rotmod 11.35 169.00 7.00 4.79e+10
F563-V1_rotmod 1.31 12.00 5.00 5.44e+08
F563-V1_rotmod 2.63 21.70 5.00 5.44e+08
F563-V1_rotmod 3.93 28.60 5.00 5.44e+08
F563-V1_rotmod 5.24 29.50 5.00 5.44e+08
F563-V1_rotmod 6.55 28.60 5.00 5.44e+08
F563-V1_rotmod 7.87 27.30 5.00 5.44e+08
DDO154_rotmod 0.49 13.80 1.60 5.26e+07
DDO154_rotmod 0.99 21.60 0.80 5.26e+07
DDO154_rotmod 1.48 28.90 0.70 5.26e+07
DDO154_rotmod 1.97 34.30 0.50 5.26e+07
DDO154_rotmod 2.47 38.20 0.40 5.26e+07
DDO154_rotmod 2.96 42.00 0.20 5.26e+07
DDO154_rotmod 3.46 44.60 0.20 5.26e+07
DDO154_rotmod 3.95 46.30 0.20 5.26e+07
DDO154_rotmod 4.44 47.40 0.30 5.26e+07
DDO154_rotmod 4.94 48.20 0.60 5.26e+07
DDO154_rotmod 5.43 47.40 0.70 5.26e+07
DDO154_rotmod 5.92 45.50 1.30 5.26e+07
UGC08699_rotmod 0.22 152.00 39.40 3.92e+10
UGC08699_rotmod 0.43 167.00 32.90 3.92e+10
UGC08699_rotmod 0.65 179.00 20.90 3.92e+10
UGC08699_rotmod 0.87 188.00 15.70 3.92e+10
UGC08699_rotmod 1.08 195.00 10.60 3.92e+10
UGC08699_rotmod 1.31 199.00 8.88 3.92e+10
UGC08699_rotmod 1.52 202.00 4.40 3.92e+10
UGC08699_rotmod 1.73 202.00 2.30 3.92e+10
UGC08699_rotmod 1.96 202.00 3.38 3.92e+10
UGC08699_rotmod 2.17 200.00 4.47 3.92e+10
UGC08699_rotmod 2.39 196.00 2.88 3.92e+10
UGC08699_rotmod 2.60 193.00 3.32 3.92e+10
UGC08699_rotmod 2.83 189.00 2.21 3.92e+10
UGC08699_rotmod 3.04 184.00 14.00 3.92e+10
UGC08699_rotmod 5.87 170.00 5.45 3.92e+10
UGC08699_rotmod 6.08 172.00 6.66 3.92e+10
UGC08699_rotmod 6.30 174.00 3.96 3.92e+10
UGC08699_rotmod 6.52 176.00 5.18 3.92e+10
UGC08699_rotmod 6.74 178.00 3.04 3.92e+10
UGC08699_rotmod 6.95 180.00 2.75 3.92e+10
UGC08699_rotmod 7.16 182.00 2.34 3.92e+10
UGC08699_rotmod 7.39 183.00 3.39 3.92e+10
UGC08699_rotmod 7.60 184.00 7.58 3.92e+10
UGC08699_rotmod 7.82 185.00 6.08 3.92e+10
UGC08699_rotmod 8.03 186.00 6.73 3.92e+10
UGC08699_rotmod 8.26 187.00 6.83 3.92e+10
UGC08699_rotmod 8.47 187.00 6.11 3.92e+10
UGC08699_rotmod 8.68 188.00 4.78 3.92e+10
UGC08699_rotmod 8.91 188.00 4.14 3.92e+10
UGC08699_rotmod 9.53 187.00 5.93 3.92e+10
UGC08699_rotmod 9.78 187.00 7.63 3.92e+10
UGC08699_rotmod 9.99 186.00 7.89 3.92e+10
UGC08699_rotmod 10.21 186.00 9.86 3.92e+10
UGC08699_rotmod 11.46 182.00 2.51 3.92e+10
UGC08699_rotmod 13.39 177.00 3.62 3.92e+10
UGC08699_rotmod 15.21 175.00 6.71 3.92e+10
UGC08699_rotmod 17.13 177.00 6.13 3.92e+10
UGC08699_rotmod 19.06 180.00 3.95 3.92e+10
UGC08699_rotmod 20.99 181.00 4.46 3.92e+10
UGC08699_rotmod 22.92 182.00 7.09 3.92e+10
UGC08699_rotmod 25.70 183.00 7.49 3.92e+10
NGC3972_rotmod 0.87 39.60 4.90 9.86e+09
NGC3972_rotmod 1.74 73.00 5.20 9.86e+09
NGC3972_rotmod 2.61 89.40 6.60 9.86e+09
NGC3972_rotmod 3.50 102.00 5.30 9.86e+09
NGC3972_rotmod 4.37 110.00 4.40 9.86e+09
NGC3972_rotmod 5.24 116.00 4.40 9.86e+09
NGC3972_rotmod 6.11 123.00 4.40 9.86e+09
NGC3972_rotmod 6.98 130.00 3.90 9.86e+09
NGC3972_rotmod 7.85 134.00 6.10 9.86e+09
NGC3972_rotmod 8.72 134.00 4.90 9.86e+09
DDO161_rotmod 0.60 16.00 3.53 4.78e+08
DDO161_rotmod 0.73 16.60 4.83 4.78e+08
DDO161_rotmod 0.85 18.60 2.50 4.78e+08
DDO161_rotmod 0.98 20.00 7.58 4.78e+08
DDO161_rotmod 1.07 21.40 4.03 4.78e+08
DDO161_rotmod 1.54 28.90 2.74 4.78e+08
DDO161_rotmod 2.02 32.90 2.65 4.78e+08
DDO161_rotmod 2.49 35.20 2.88 4.78e+08
DDO161_rotmod 2.96 37.60 3.05 4.78e+08
DDO161_rotmod 3.43 40.60 3.68 4.78e+08
DDO161_rotmod 3.90 42.70 3.25 4.78e+08
DDO161_rotmod 4.37 45.50 2.99 4.78e+08
DDO161_rotmod 4.86 48.90 1.96 4.78e+08
DDO161_rotmod 5.34 51.50 1.53 4.78e+08
DDO161_rotmod 5.81 53.00 1.86 4.78e+08
DDO161_rotmod 6.28 55.00 1.48 4.78e+08
DDO161_rotmod 6.75 57.60 0.99 4.78e+08
DDO161_rotmod 7.22 59.70 1.19 4.78e+08
DDO161_rotmod 7.69 60.50 1.26 4.78e+08
DDO161_rotmod 8.16 61.80 1.33 4.78e+08
DDO161_rotmod 8.64 62.90 1.35 4.78e+08
DDO161_rotmod 9.11 63.00 2.09 4.78e+08
DDO161_rotmod 9.58 64.50 2.38 4.78e+08
DDO161_rotmod 10.05 65.60 1.08 4.78e+08
DDO161_rotmod 10.52 67.50 3.22 4.78e+08
DDO161_rotmod 10.99 66.80 2.37 4.78e+08
DDO161_rotmod 11.46 66.80 0.95 4.78e+08
DDO161_rotmod 11.94 66.60 0.96 4.78e+08
DDO161_rotmod 12.41 66.80 0.99 4.78e+08
DDO161_rotmod 12.90 66.30 0.74 4.78e+08
DDO161_rotmod 13.37 66.10 1.31 4.78e+08
UGC04325_rotmod 0.70 41.30 3.05 1.54e+09
UGC04325_rotmod 1.40 68.70 3.07 1.54e+09
UGC04325_rotmod 2.09 83.80 3.05 1.54e+09
UGC04325_rotmod 2.79 88.70 3.05 1.54e+09
UGC04325_rotmod 3.49 90.10 3.05 1.54e+09
UGC04325_rotmod 4.19 91.60 3.05 1.54e+09
UGC04325_rotmod 4.89 92.70 3.05 1.54e+09
UGC04325_rotmod 5.59 91.50 3.05 1.54e+09
NGC2403_rotmod 0.16 24.50 2.83 7.57e+09
NGC2403_rotmod 0.26 35.30 2.46 7.57e+09
NGC2403_rotmod 0.36 43.20 1.12 7.57e+09
NGC2403_rotmod 0.46 52.00 1.25 7.57e+09
NGC2403_rotmod 0.56 60.90 2.93 7.57e+09
NGC2403_rotmod 0.66 65.80 1.25 7.57e+09
NGC2403_rotmod 0.76 71.70 1.25 7.57e+09
NGC2403_rotmod 0.86 74.60 1.60 7.57e+09
NGC2403_rotmod 0.96 74.60 1.03 7.57e+09
NGC2403_rotmod 1.06 76.60 1.12 7.57e+09
NGC2403_rotmod 1.16 78.50 1.60 7.57e+09
NGC2403_rotmod 1.27 83.40 1.80 7.57e+09
NGC2403_rotmod 1.36 86.40 1.60 7.57e+09
NGC2403_rotmod 1.47 87.40 1.41 7.57e+09
NGC2403_rotmod 1.57 90.30 1.41 7.57e+09
NGC2403_rotmod 1.67 93.30 1.60 7.57e+09
NGC2403_rotmod 1.77 93.30 1.41 7.57e+09
NGC2403_rotmod 1.87 95.20 1.25 7.57e+09
NGC2403_rotmod 1.97 97.20 1.60 7.57e+09
NGC2403_rotmod 2.08 99.10 2.02 7.57e+09
NGC2403_rotmod 2.18 98.20 2.02 7.57e+09
NGC2403_rotmod 2.28 98.20 1.60 7.57e+09
NGC2403_rotmod 2.37 98.20 1.00 7.57e+09
NGC2403_rotmod 2.47 97.20 1.12 7.57e+09
NGC2403_rotmod 2.57 98.20 1.41 7.57e+09
NGC2403_rotmod 2.68 98.20 1.12 7.57e+09
NGC2403_rotmod 2.78 98.20 1.60 7.57e+09
NGC2403_rotmod 2.88 99.10 2.69 7.57e+09
NGC2403_rotmod 2.98 100.00 2.69 7.57e+09
NGC2403_rotmod 3.08 102.00 3.16 7.57e+09
NGC2403_rotmod 3.19 101.00 3.40 7.57e+09
NGC2403_rotmod 3.29 101.00 3.40 7.57e+09
NGC2403_rotmod 3.39 103.00 2.93 7.57e+09
NGC2403_rotmod 3.49 107.00 2.46 7.57e+09
NGC2403_rotmod 3.59 110.00 2.46 7.57e+09
NGC2403_rotmod 3.69 112.00 3.40 7.57e+09
NGC2403_rotmod 3.79 114.00 5.10 7.57e+09
NGC2403_rotmod 3.90 118.00 5.10 7.57e+09
NGC2403_rotmod 3.99 118.00 4.85 7.57e+09
NGC2403_rotmod 4.47 118.00 5.36 7.57e+09
NGC2403_rotmod 4.97 121.00 2.57 7.57e+09
NGC2403_rotmod 5.47 124.00 0.22 7.57e+09
NGC2403_rotmod 5.96 125.00 0.88 7.57e+09
NGC2403_rotmod 6.46 126.00 0.45 7.57e+09
NGC2403_rotmod 6.96 126.00 0.55 7.57e+09
NGC2403_rotmod 7.45 126.00 0.45 7.57e+09
NGC2403_rotmod 7.95 126.00 0.24 7.57e+09
NGC2403_rotmod 8.45 127.00 1.45 7.57e+09
NGC2403_rotmod 8.94 128.00 1.12 7.57e+09
NGC2403_rotmod 9.44 128.00 1.68 7.57e+09
NGC2403_rotmod 9.94 127.00 2.56 7.57e+09
NGC2403_rotmod 10.43 127.00 1.24 7.57e+09
NGC2403_rotmod 10.93 128.00 0.21 7.57e+09
NGC2403_rotmod 11.43 130.00 1.13 7.57e+09
NGC2403_rotmod 11.92 130.00 2.23 7.57e+09
NGC2403_rotmod 12.42 132.00 2.68 7.57e+09
NGC2403_rotmod 12.92 133.00 2.68 7.57e+09
NGC2403_rotmod 13.42 133.00 3.37 7.57e+09
NGC2403_rotmod 13.91 133.00 3.81 7.57e+09
NGC2403_rotmod 14.41 133.00 2.56 7.57e+09
NGC2403_rotmod 14.91 134.00 0.56 7.57e+09
NGC2403_rotmod 15.40 134.00 0.79 7.57e+09
NGC2403_rotmod 15.90 133.00 0.67 7.57e+09
NGC2403_rotmod 16.40 134.00 2.35 7.57e+09
NGC2403_rotmod 16.89 134.00 4.13 7.57e+09
NGC2403_rotmod 17.39 136.00 3.91 7.57e+09
NGC2403_rotmod 17.89 136.00 6.38 7.57e+09
NGC2403_rotmod 18.38 135.00 8.39 7.57e+09
NGC2403_rotmod 18.88 133.00 7.83 7.57e+09
NGC2403_rotmod 19.38 134.00 6.26 7.57e+09
NGC2403_rotmod 19.87 136.00 5.60 7.57e+09
NGC2403_rotmod 20.37 135.00 5.24 7.57e+09
NGC2403_rotmod 20.87 134.00 3.12 7.57e+09
NGC3521_rotmod 0.51 143.00 33.10 6.11e+10
NGC3521_rotmod 0.69 160.00 15.00 6.11e+10
NGC3521_rotmod 0.86 178.00 7.92 6.11e+10
NGC3521_rotmod 1.03 188.00 8.01 6.11e+10
NGC3521_rotmod 1.20 187.00 8.03 6.11e+10
NGC3521_rotmod 1.38 195.00 5.60 6.11e+10
NGC3521_rotmod 1.55 199.00 7.52 6.11e+10
NGC3521_rotmod 1.71 203.00 6.87 6.11e+10
NGC3521_rotmod 1.89 206.00 9.22 6.11e+10
NGC3521_rotmod 2.06 211.00 12.00 6.11e+10
NGC3521_rotmod 2.23 219.00 13.30 6.11e+10
NGC3521_rotmod 2.41 216.00 9.90 6.11e+10
NGC3521_rotmod 2.58 214.00 10.50 6.11e+10
NGC3521_rotmod 2.75 213.00 8.39 6.11e+10
NGC3521_rotmod 2.92 210.00 13.30 6.11e+10
NGC3521_rotmod 3.09 214.00 6.67 6.11e+10
NGC3521_rotmod 3.26 213.00 9.98 6.11e+10
NGC3521_rotmod 3.43 212.00 11.20 6.11e+10
NGC3521_rotmod 3.61 215.00 9.11 6.11e+10
NGC3521_rotmod 3.78 217.00 10.10 6.11e+10
NGC3521_rotmod 3.95 219.00 8.05 6.11e+10
NGC3521_rotmod 4.12 220.00 8.29 6.11e+10
NGC3521_rotmod 4.29 218.00 8.42 6.11e+10
NGC3521_rotmod 4.46 220.00 9.71 6.11e+10
NGC3521_rotmod 4.64 220.00 20.10 6.11e+10
NGC3521_rotmod 4.81 216.00 23.50 6.11e+10
NGC3521_rotmod 4.98 220.00 14.60 6.11e+10
NGC3521_rotmod 5.15 218.00 12.20 6.11e+10
NGC3521_rotmod 5.32 213.00 23.10 6.11e+10
NGC3521_rotmod 5.49 215.00 21.20 6.11e+10
NGC3521_rotmod 5.67 216.00 18.30 6.11e+10
NGC3521_rotmod 5.84 208.00 31.70 6.11e+10
NGC3521_rotmod 6.01 212.00 25.30 6.11e+10
NGC3521_rotmod 6.19 213.00 23.80 6.11e+10
NGC3521_rotmod 6.35 216.00 19.60 6.11e+10
NGC3521_rotmod 6.64 210.00 25.00 6.11e+10
NGC3521_rotmod 8.82 210.00 10.70 6.11e+10
NGC3521_rotmod 11.07 210.00 10.70 6.11e+10
NGC3521_rotmod 13.32 206.00 6.25 6.11e+10
NGC3521_rotmod 15.49 206.00 6.25 6.11e+10
NGC3521_rotmod 17.74 206.00 10.70 6.11e+10
UGC08490_rotmod 0.34 38.80 3.69 9.83e+08
UGC08490_rotmod 0.68 50.10 3.69 9.83e+08
UGC08490_rotmod 1.02 60.20 3.69 9.83e+08
UGC08490_rotmod 1.36 68.20 3.69 9.83e+08
UGC08490_rotmod 1.69 72.80 3.69 9.83e+08
UGC08490_rotmod 2.03 75.30 3.69 9.83e+08
UGC08490_rotmod 2.37 76.60 3.69 9.83e+08
UGC08490_rotmod 2.70 77.60 3.69 9.83e+08
UGC08490_rotmod 3.05 78.50 3.69 9.83e+08
UGC08490_rotmod 3.38 78.20 3.69 9.83e+08
UGC08490_rotmod 3.72 78.80 3.69 9.83e+08
UGC08490_rotmod 4.06 79.20 3.69 9.83e+08
UGC08490_rotmod 4.39 79.20 3.69 9.83e+08
UGC08490_rotmod 4.74 79.20 3.69 9.83e+08
UGC08490_rotmod 5.08 78.80 3.69 9.83e+08
UGC08490_rotmod 5.41 78.50 3.69 9.83e+08
UGC08490_rotmod 5.75 80.10 3.69 9.83e+08
UGC08490_rotmod 6.09 80.10 3.69 9.83e+08
UGC08490_rotmod 6.42 80.10 3.69 9.83e+08
UGC08490_rotmod 6.77 80.10 3.69 9.83e+08
UGC08490_rotmod 7.11 79.80 3.69 9.83e+08
UGC08490_rotmod 7.44 79.80 3.69 9.83e+08
UGC08490_rotmod 7.78 79.50 3.69 9.83e+08
UGC08490_rotmod 8.12 79.50 3.69 9.83e+08
UGC08490_rotmod 8.46 78.80 3.69 9.83e+08
UGC08490_rotmod 8.80 77.90 3.69 9.83e+08
UGC08490_rotmod 9.13 77.20 3.69 9.83e+08
UGC08490_rotmod 9.47 77.60 3.69 9.83e+08
UGC08490_rotmod 9.77 76.60 3.69 9.83e+08
UGC08490_rotmod 10.15 77.60 3.69 9.83e+08
UGC12732_rotmod 0.96 34.20 3.32 1.53e+09
UGC12732_rotmod 1.92 49.50 4.60 1.53e+09
UGC12732_rotmod 2.88 59.90 4.38 1.53e+09
UGC12732_rotmod 3.84 65.30 4.31 1.53e+09
UGC12732_rotmod 4.80 69.80 3.83 1.53e+09
UGC12732_rotmod 5.76 73.80 3.45 1.53e+09
UGC12732_rotmod 6.72 76.20 3.24 1.53e+09
UGC12732_rotmod 7.68 79.30 3.19 1.53e+09
UGC12732_rotmod 8.64 80.30 3.31 1.53e+09
UGC12732_rotmod 9.60 81.90 3.69 1.53e+09
UGC12732_rotmod 10.60 84.00 3.89 1.53e+09
UGC12732_rotmod 11.50 85.60 3.67 1.53e+09
UGC12732_rotmod 12.50 87.90 3.43 1.53e+09
UGC12732_rotmod 13.40 90.80 3.36 1.53e+09
UGC12732_rotmod 14.40 95.50 3.18 1.53e+09
UGC12732_rotmod 15.40 98.00 3.18 1.53e+09
UGC05829_rotmod 0.63 14.80 5.06 3.57e+08
UGC05829_rotmod 1.26 27.20 5.06 3.57e+08
UGC05829_rotmod 1.88 34.10 5.06 3.57e+08
UGC05829_rotmod 2.52 38.80 5.06 3.57e+08
UGC05829_rotmod 3.14 42.80 5.06 3.57e+08
UGC05829_rotmod 3.77 47.90 5.06 3.57e+08
UGC05829_rotmod 4.40 51.90 5.06 3.57e+08
UGC05829_rotmod 5.03 57.60 5.06 3.57e+08
UGC05829_rotmod 5.65 60.70 5.06 3.57e+08
UGC05829_rotmod 6.29 65.60 5.06 3.57e+08
UGC05829_rotmod 6.91 68.60 5.06 3.57e+08
UGC12506_rotmod 0.82 107.00 25.60 1.19e+11
UGC12506_rotmod 2.46 159.00 26.50 1.19e+11
UGC12506_rotmod 4.10 194.00 13.90 1.19e+11
UGC12506_rotmod 5.74 198.00 14.60 1.19e+11
UGC12506_rotmod 7.38 211.00 13.20 1.19e+11
UGC12506_rotmod 9.02 222.00 13.60 1.19e+11
UGC12506_rotmod 10.65 230.00 11.60 1.19e+11
UGC12506_rotmod 12.29 239.00 11.60 1.19e+11
UGC12506_rotmod 13.93 237.00 11.60 1.19e+11
UGC12506_rotmod 15.57 240.00 11.60 1.19e+11
UGC12506_rotmod 17.21 245.00 11.60 1.19e+11
UGC12506_rotmod 18.85 249.00 11.60 1.19e+11
UGC12506_rotmod 20.49 248.00 11.60 1.19e+11
UGC12506_rotmod 22.13 250.00 11.60 1.19e+11
UGC12506_rotmod 23.77 255.00 11.60 1.19e+11
UGC12506_rotmod 25.41 244.00 14.90 1.19e+11
UGC12506_rotmod 27.05 244.00 11.60 1.19e+11
UGC12506_rotmod 28.68 249.00 11.60 1.19e+11
UGC12506_rotmod 30.32 251.00 11.60 1.19e+11
UGC12506_rotmod 31.96 249.00 11.60 1.19e+11
UGC12506_rotmod 33.60 244.00 12.90 1.19e+11
UGC12506_rotmod 35.24 239.00 16.20 1.19e+11
UGC12506_rotmod 36.88 238.00 18.40 1.19e+11
UGC12506_rotmod 38.52 241.00 24.90 1.19e+11
UGC12506_rotmod 40.16 237.00 23.00 1.19e+11
UGC12506_rotmod 41.80 228.00 14.00 1.19e+11
UGC12506_rotmod 43.44 233.00 16.90 1.19e+11
UGC12506_rotmod 45.08 233.00 13.70 1.19e+11
UGC12506_rotmod 46.71 230.00 11.60 1.19e+11
UGC12506_rotmod 48.35 226.00 11.60 1.19e+11
UGC12506_rotmod 49.99 225.00 11.60 1.19e+11
NGC0024_rotmod 0.21 17.40 6.51 1.80e+09
NGC0024_rotmod 0.32 31.00 8.86 1.80e+09
NGC0024_rotmod 0.43 36.10 8.16 1.80e+09
NGC0024_rotmod 0.54 46.00 8.52 1.80e+09
NGC0024_rotmod 0.64 58.00 6.90 1.80e+09
NGC0024_rotmod 0.74 63.40 9.55 1.80e+09
NGC0024_rotmod 0.85 71.90 8.52 1.80e+09
NGC0024_rotmod 0.96 76.40 6.82 1.80e+09
NGC0024_rotmod 1.07 78.10 6.65 1.80e+09
NGC0024_rotmod 1.17 80.50 6.14 1.80e+09
NGC0024_rotmod 1.28 82.80 5.80 1.80e+09
NGC0024_rotmod 1.38 85.60 6.48 1.80e+09
NGC0024_rotmod 1.48 88.00 7.50 1.80e+09
NGC0024_rotmod 1.59 92.00 8.52 1.80e+09
NGC0024_rotmod 1.70 92.40 8.52 1.80e+09
NGC0024_rotmod 1.80 95.10 9.20 1.80e+09
NGC0024_rotmod 1.91 96.50 8.52 1.80e+09
NGC0024_rotmod 2.02 101.00 8.86 1.80e+09
NGC0024_rotmod 2.13 99.90 9.55 1.80e+09
NGC0024_rotmod 2.23 103.00 8.18 1.80e+09
NGC0024_rotmod 2.34 104.00 8.52 1.80e+09
NGC0024_rotmod 2.44 107.00 9.20 1.80e+09
NGC0024_rotmod 2.54 107.00 9.55 1.80e+09
NGC0024_rotmod 2.65 106.00 11.20 1.80e+09
NGC0024_rotmod 2.76 107.00 11.20 1.80e+09
NGC0024_rotmod 7.07 104.00 3.11 1.80e+09
NGC0024_rotmod 8.49 106.00 2.55 1.80e+09
NGC0024_rotmod 9.91 109.00 4.95 1.80e+09
NGC0024_rotmod 11.27 110.00 2.83 1.80e+09
UGC03546_rotmod 0.63 262.00 73.60 7.37e+10
UGC03546_rotmod 0.79 250.00 55.50 7.37e+10
UGC03546_rotmod 0.95 241.00 42.90 7.37e+10
UGC03546_rotmod 1.11 234.00 31.90 7.37e+10
UGC03546_rotmod 1.27 228.00 28.80 7.37e+10
UGC03546_rotmod 1.43 225.00 24.20 7.37e+10
UGC03546_rotmod 1.59 222.00 12.20 7.37e+10
UGC03546_rotmod 1.90 221.00 6.34 7.37e+10
UGC03546_rotmod 2.06 221.00 12.20 7.37e+10
UGC03546_rotmod 2.22 222.00 16.90 7.37e+10
UGC03546_rotmod 2.38 222.00 26.00 7.37e+10
UGC03546_rotmod 2.79 221.00 13.10 7.37e+10
UGC03546_rotmod 2.86 221.00 11.80 7.37e+10
UGC03546_rotmod 3.02 220.00 22.90 7.37e+10
UGC03546_rotmod 4.17 205.00 8.45 7.37e+10
UGC03546_rotmod 5.56 190.00 13.30 7.37e+10
UGC03546_rotmod 6.96 190.00 8.87 7.37e+10
UGC03546_rotmod 8.35 198.00 3.19 7.37e+10
UGC03546_rotmod 9.73 204.00 2.56 7.37e+10
UGC03546_rotmod 11.14 204.00 1.09 7.37e+10
UGC03546_rotmod 12.51 201.00 0.57 7.37e+10
UGC03546_rotmod 13.88 203.00 0.75 7.37e+10
UGC03546_rotmod 15.35 202.00 0.89 7.37e+10
UGC03546_rotmod 16.72 198.00 1.58 7.37e+10
UGC03546_rotmod 18.08 195.00 1.50 7.37e+10
UGC03546_rotmod 19.45 194.00 2.16 7.37e+10
UGC03546_rotmod 20.92 192.00 6.21 7.37e+10
UGC03546_rotmod 22.92 190.00 3.14 7.37e+10
UGC03546_rotmod 25.02 191.00 14.60 7.37e+10
UGC03546_rotmod 29.23 193.00 18.60 7.37e+10
UGC06399_rotmod 0.87 24.80 6.50 1.77e+09
UGC06399_rotmod 1.74 46.20 5.60 1.77e+09
UGC06399_rotmod 2.61 60.50 5.80 1.77e+09
UGC06399_rotmod 3.50 69.60 3.90 1.77e+09
UGC06399_rotmod 4.37 77.50 3.70 1.77e+09
UGC06399_rotmod 5.24 82.90 4.50 1.77e+09
UGC06399_rotmod 6.11 84.10 4.90 1.77e+09
UGC06399_rotmod 6.98 85.60 4.90 1.77e+09
UGC06399_rotmod 7.85 87.60 4.90 1.77e+09
UGC00634_rotmod 4.51 69.75 4.15 3.05e+09
UGC00634_rotmod 9.01 97.70 1.63 3.05e+09
UGC00634_rotmod 13.51 108.00 0.99 3.05e+09
UGC00634_rotmod 18.01 107.50 2.32 3.05e+09
UGC07151_rotmod 0.50 24.20 2.18 1.54e+09
UGC07151_rotmod 1.00 42.00 2.91 1.54e+09
UGC07151_rotmod 1.50 59.40 2.40 1.54e+09
UGC07151_rotmod 2.00 63.90 2.01 1.54e+09
UGC07151_rotmod 2.49 66.00 2.00 1.54e+09
UGC07151_rotmod 3.00 67.20 2.07 1.54e+09
UGC07151_rotmod 3.49 68.70 2.38 1.54e+09
UGC07151_rotmod 4.00 71.30 2.91 1.54e+09
UGC07151_rotmod 4.49 72.50 3.21 1.54e+09
UGC07151_rotmod 5.01 74.00 3.41 1.54e+09
UGC07151_rotmod 5.50 76.20 3.17 1.54e+09
UGCA442_rotmod 0.42 14.20 1.91 1.13e+08
UGCA442_rotmod 1.26 28.60 1.82 1.13e+08
UGCA442_rotmod 2.11 41.00 1.74 1.13e+08
UGCA442_rotmod 2.96 49.00 1.91 1.13e+08
UGCA442_rotmod 3.79 54.80 2.05 1.13e+08
UGCA442_rotmod 4.65 56.40 3.12 1.13e+08
UGCA442_rotmod 5.48 57.80 2.83 1.13e+08
UGCA442_rotmod 6.33 56.50 0.65 1.13e+08
F563-1_rotmod 1.07 22.10 7.17 1.45e+09
F563-1_rotmod 1.78 42.70 10.66 1.45e+09
F563-1_rotmod 2.49 60.60 7.69 1.45e+09
F563-1_rotmod 2.97 76.80 11.10 1.45e+09
F563-1_rotmod 3.04 81.60 17.50 1.45e+09
F563-1_rotmod 3.19 87.00 8.93 1.45e+09
F563-1_rotmod 6.95 90.00 24.80 1.45e+09
F563-1_rotmod 8.58 97.80 9.40 1.45e+09
F563-1_rotmod 9.26 93.70 25.30 1.45e+09
F563-1_rotmod 9.89 103.00 23.80 1.45e+09
F563-1_rotmod 10.08 97.40 11.00 1.45e+09
F563-1_rotmod 11.84 106.50 9.48 1.45e+09
F563-1_rotmod 14.56 112.00 11.00 1.45e+09
F563-1_rotmod 15.43 111.50 9.40 1.45e+09
F563-1_rotmod 17.93 111.00 24.30 1.45e+09
F563-1_rotmod 19.02 112.50 7.75 1.45e+09
F563-1_rotmod 20.10 106.00 10.70 1.45e+09
NGC3953_rotmod 3.50 181.00 7.50 1.21e+11
NGC3953_rotmod 5.24 203.00 6.50 1.21e+11
NGC3953_rotmod 6.98 216.00 5.60 1.21e+11
NGC3953_rotmod 8.72 223.00 6.10 1.21e+11
NGC3953_rotmod 10.47 224.00 5.60 1.21e+11
NGC3953_rotmod 12.19 223.00 6.10 1.21e+11
NGC3953_rotmod 13.94 224.00 6.10 1.21e+11
NGC3953_rotmod 15.68 215.00 9.70 1.21e+11
UGC04499_rotmod 0.91 26.00 4.10 1.29e+09
UGC04499_rotmod 1.82 45.10 3.02 1.29e+09
UGC04499_rotmod 2.73 57.00 2.97 1.29e+09
UGC04499_rotmod 3.63 62.00 2.85 1.29e+09
UGC04499_rotmod 4.55 66.90 2.75 1.29e+09
UGC04499_rotmod 5.45 70.60 2.86 1.29e+09
UGC04499_rotmod 6.37 72.80 2.66 1.29e+09
UGC04499_rotmod 7.28 73.30 2.66 1.29e+09
UGC04499_rotmod 8.18 74.30 2.67 1.29e+09
NGC4559_rotmod 0.67 43.80 10.90 1.82e+10
NGC4559_rotmod 1.32 64.20 7.71 1.82e+10
NGC4559_rotmod 1.97 73.30 8.62 1.82e+10
NGC4559_rotmod 2.62 84.20 8.40 1.82e+10
NGC4559_rotmod 3.28 96.20 5.67 1.82e+10
NGC4559_rotmod 3.93 102.00 4.79 1.82e+10
NGC4559_rotmod 4.58 104.00 5.67 1.82e+10
NGC4559_rotmod 5.22 106.00 5.37 1.82e+10
NGC4559_rotmod 5.90 106.00 5.24 1.82e+10
NGC4559_rotmod 6.54 108.00 5.22 1.82e+10
NGC4559_rotmod 7.19 111.00 4.68 1.82e+10
NGC4559_rotmod 7.87 114.00 4.61 1.82e+10
NGC4559_rotmod 8.51 116.00 4.47 1.82e+10
NGC4559_rotmod 9.16 117.00 5.22 1.82e+10
